pickup,delivery,distance,weight,date,predicted_rate,market_index,quote_signal,day_of_week,is_weekend,day_of_month,month,quarter,day_of_year,week_of_year,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,quote_deviation,quote_is_urgent,quote_is_distressed,is_short_haul,is_long_haul,log_distance,weight_ton,ton_miles,log_weight,market_quote_interaction,pickup_lat,pickup_lon,delivery_lat,delivery_lon,haversine_dist,detour_ratio,eq_Dry Van,eq_Flatbed,eq_Reefer,lane,lane_rpm_enc
Lexington,Fort Wayne,360,32000.0,2025-12-01,,0.95783,1.98584,0,0,1,12,4,335,49,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.5120551783114646,0.8589525565270845,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-02,,0.95783,1.98584,1,0,2,12,4,336,49,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.4972040784469378,0.8676336233547726,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-03,,0.95783,1.98584,2,0,3,12,4,337,49,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.4822058478963526,0.8760579434344281,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-04,,0.95783,1.98584,3,0,4,12,4,338,49,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.46706492487743034,0.8842230238742036,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-05,,0.95783,1.98584,4,0,5,12,4,339,49,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.451785789832884,0.8921264484954345,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-06,,0.95783,1.98584,5,1,6,12,4,340,49,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.4363729641045924,0.8997658785476209,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-07,,0.95783,1.98584,6,1,7,12,4,341,49,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.42083100859565564,0.9071390534005044,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-08,,0.95783,1.98584,0,0,8,12,4,342,50,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.4051645224207563,0.9142437912130223,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-09,,0.95783,1.98584,1,0,9,12,4,343,50,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.3893781415452015,0.9210779895789526,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-10,,0.95783,1.98584,2,0,10,12,4,344,50,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.37347653741307074,0.9276396261490467,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-11,,0.95783,1.98584,3,0,11,12,4,345,50,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.3574644155648614,0.9339267592294762,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-12,,0.95783,1.98584,4,0,12,12,4,346,50,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.34134651424503615,0.9399375283564133,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-13,,0.95783,1.98584,5,1,13,12,4,347,50,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.3251276029999093,0.9456701548465688,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-14,,0.95783,1.98584,6,1,14,12,4,348,50,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.30881248126625377,0.9511229423235357,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-15,,0.95783,1.98584,0,0,15,12,4,349,51,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.29240597695107734,0.9562942772197719,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
Lexington,Fort Wayne,360,32000.0,2025-12-16,,0.95783,1.98584,1,0,16,12,4,350,51,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.27591294500296043,0.9611826292540837,0.01415999999999995,0,0,0,0,5.8888779583328805,16.0,5760.0,10.373522431293592,1.9020971272,36.99152,-84.99876,41.31561,-85.36206,299.40161841988265,1.202398310002232,1,0,0,Lexington_Fort Wayne,2.319785741819841
